available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Borough;City;Neighbourhood;Street;orig_street;Id
.;.;apartment;to_completion;praga-po³udnie;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 5);.;52.2453919;https://www.otodom.pl/oferta/blisko-ronda-wiatraczna-dobra-lokalizacja-ID3LoMA.html;21.0845187;primary;0;0;0;.;93;307671;PLN;07.09.2018;.;2;0;0;0;1;1;0;0;41.86;07.09.2018;.;.;praga po³udnie;warszawa;goc³aw;wiatraczna;True;55625692
.;brick;block;to_completion;œródmieœcie;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;urban;52.2307909259562;https://www.otodom.pl/oferta/wysoki-standard-centrum-metro-juz-gotowe-ID3KssA.html;20.964770694890948;primary;1;1;1;full_ownership;272;676000;PLN;ponad 14 dni temu;.;3;0;0;1;1;1;0;0;55;29.08.2018;wooden;.;œródmieœcie;warszawa;.;.;False;55401500
30 Wrzeœnia 2018;reinforced_concrete;block;to_completion;bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2 (z 3);urban;52.324741069021115;https://www.otodom.pl/oferta/3-pok-71-21m2-miejsce-postojowe-w-cenie-mieszkania-ID3F8Ba.html;20.948478282623288;primary;1;1;1;full_ownership;2097;462865;PLN;ponad 14 dni temu;.;3;0;0;1;1;0;0;0;71.21;ponad 14 dni temu;plastic;2018;bia³o³êka;warszawa;d¹brówka szlachecka;józefa mehoffera;True;54133512
.;brick;block;to_completion;bia³o³êka;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1 (z 2);.;52.3256454;https://www.otodom.pl/oferta/gotowe-niski-czynsz-balkon-latwy-dojazd-do-metra-ID3Lcj6.html;21.0485875;primary;1;1;0;full_ownership;175;191000;PLN;05.09.2018;.;2;0;0;1;1;1;0;0;31;05.09.2018;plastic;2018;bia³o³êka;warszawa;kobia³ka;ostródzka;True;55577736
.;brick;block;ready_to_use;œródmieœcie;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4 (z 4);.;52.23614;https://www.otodom.pl/oferta/mieszkanie-71-50-m-warszawa-ID2Xqhf.html;21.00817;secondary;0;0;0;full_ownership;3167;800000;PLN;ponad 14 dni temu;.;5;0;0;0;0;0;0;0;71.5;28.08.2018;.;1954;œródmieœcie;warszawa;œródmieœcie pó³nocne;orla;True;43715037
.;concrete_plate;block;to_renovation;ochota;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3 (z 3);urban;52.2018208;https://www.otodom.pl/oferta/mieszkanie-trzypokojowe-do-remontu-ochota-ID3IHN2.html;20.9792343;secondary;0;0;0;cooperative_ownership;481;440000;PLN;ponad 14 dni temu;600 z³;3;0;0;0;1;0;0;0;54;ponad 14 dni temu;plastic;1962;ochota;warszawa;rakowiec;pruszkowska;True;54983772
.;.;block;to_renovation;praga-po³udnie;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;2 (z 10);.;52.2321592;https://www.otodom.pl/oferta/3-pokoje-saska-kepa-47-m2-ID3HSVo.html;21.0609074;secondary;0;0;0;full_ownership;408;409000;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;47;08.09.2018;wooden;.;praga po³udnie;warszawa;saska kêpa;saska;True;54788308
.;.;block;to_completion;ochota;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1 (z 8);.;52.23614;https://www.otodom.pl/oferta/mieszkanie-66-35-m-warszawa-ID3JQsv.html;21.00817;secondary;1;1;0;full_ownership;404;832000;PLN;ponad 14 dni temu;645 z³;3;0;0;0;0;0;0;0;66.35;ponad 14 dni temu;wooden;2004;ochota;warszawa;rakowiec;pruszkowska;True;55255424
.;other;apartment;to_completion;œródmieœcie;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;4 (z 7);.;52.2343408;https://www.otodom.pl/oferta/gotowe-wykonczone-mieszkanie-przy-metrze-ID3KW5i.html;20.9791574;primary;0;0;0;.;291;920900;PLN;31.08.2018;.;4;0;1;1;1;1;0;0;83.62;01.09.2018;.;2017;wola;warszawa;mirów;jaktorowska;True;55511532
.;brick;tenement;ready_to_use;œródmieœcie;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1 (z 6);urban;52.22320686786347;https://www.otodom.pl/oferta/mokotowska-piekna-apartament-wysoki-3-6m-winda-ID3KypO.html;21.020223087310796;secondary;0;0;0;full_ownership;434;1290000;PLN;ponad 14 dni temu;.;2;0;0;1;1;0;0;0;56;ponad 14 dni temu;wooden;1913;œródmieœcie;warszawa;œródmieœcie po³udniowe;mokotowska;False;55424392
.;.;.;.;grabów;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1 (z 2);.;52.143771;https://www.otodom.pl/oferta/mieszkanie-132-m-warszawa-ID3KJ1e.html;21.00834;secondary;0;0;0;full_ownership;295;849000;PLN;28.08.2018;1 z³;4;0;0;0;0;0;0;0;132;28.08.2018;plastic;2000;ursynów;warszawa;grabów;.;False;55465152
.;concrete_plate;block;to_completion;bródno;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1 (z 10);.;52.2845503;https://www.otodom.pl/oferta/mieszkanie-55-20-m-warszawa-ID3KDZG.html;21.0254292;secondary;1;1;1;full_ownership;326;399000;PLN;27.08.2018;400 z³;3;0;0;0;0;0;0;0;55.2;08.09.2018;.;1970;targówek;warszawa;bródno;.;False;55445836
